id,date,venue,temperature,precipitation
21700001,17/10/2017,Quicken Loans Arena,53.51,0
21700002,17/10/2017,Oracle Arena,81.79,0
21700003,18/10/2017,Little Caesars Arena,67.3,0
21700004,18/10/2017,Bankers Life Fieldhouse,65.36,0
21700005,18/10/2017,Amway Center,75.14,0.0005
21700006,18/10/2017,Capital Center,58.99,0
21700007,18/10/2017,Td Garden,53.44,0
21700008,18/10/2017,Fedex Forum,69.94,0
21700009,18/10/2017,American Airlines Center,75.73,0
21700010,18/10/2017,Vivint Smart Home Arena,70.78,0
21700011,18/10/2017,At&t Center,78.2,0
21700012,18/10/2017,Talking Stick Resort Arena,97.57,0
21700013,18/10/2017,Golden 1 Center,80.65,0
21700014,19/10/2017,Scotiabank Arena,65.99,0
21700015,19/10/2017,Chesapeake Energy Arena,79.25,0
21700016,19/10/2017,Staples Center,84.6,0
21700017,20/10/2017,Spectrum Center,69.89,0
21700018,20/10/2017,Bankers Life Fieldhouse,73.25,0
21700019,20/10/2017,Wells Fargo Arena,95.04,0
21700020,20/10/2017,Capital Center,68.67,0
21700021,20/10/2017,Fiserv Forum,64.25,0
21700022,20/10/2017,Barclays Center,67.61,0
21700023,20/10/2017,Target Center,71.98,0
21700024,20/10/2017,American Airlines Center,81.47,0
21700025,20/10/2017,Smoothie King Center,78.99,0
21700026,20/10/2017,Talking Stick Resort Arena,95.32,0
21700027,21/10/2017,Scotiabank Arena,65.64,0
21700028,21/10/2017,Quicken Loans Arena,71.3,0
21700029,21/10/2017,American Airlines Center,81.79,0
21700030,21/10/2017,Madison Square Garden,70.34,0
21700031,21/10/2017,United Center,76.35,0
21700032,21/10/2017,Toyota Center,77.38,0
21700033,21/10/2017,Fedex Forum,74.24,0
21700034,21/10/2017,Fiserv Forum,75.14,0
21700035,21/10/2017,Pepsi Center,77.18,0
21700036,21/10/2017,Vivint Smart Home Arena,44.13,0.0054
21700037,21/10/2017,Staples Center,71.5,0
21700038,22/10/2017,Barclays Center,69.55,0
21700039,22/10/2017,Chesapeake Energy Arena,77.57,0
21700040,22/10/2017,Staples Center,77.93,0
21700041,23/10/2017,Little Caesars Arena,73.77,0
21700042,23/10/2017,American Airlines Center,72.79,0
